declarationYear,stateName,city,after_2020_only,total_approved_Ihp_amount,total_approved_fema_assistance,incidentBeginDate
2006,Oklahoma                      ,"Ardmore, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Ardmore, Oklahoma",No,101201.33,4.0,2009-04-09
2009,Oklahoma                      ,"Countyline, Oklahoma",No,12571.63,1.0,2009-04-09
2006,Oklahoma                      ,"Elmore City, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Fox, Oklahoma",No,39331.64,2.0,2009-04-09
2009,Oklahoma                      ,"Graham, Oklahoma",No,62345.1,5.0,2009-04-09
2009,Oklahoma                      ,"Healdton, Oklahoma",No,165956.81,9.0,2009-04-09
2006,Oklahoma                      ,"Loco, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Springer, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Wilson, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Ratliff City, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Ratliff City, Oklahoma",No,321759.75,15.0,2009-04-09
2009,Oklahoma                      ,"Tatums, Oklahoma",No,228518.32,15.0,2009-04-09
2006,Oklahoma                      ,"Velma, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Velma, Oklahoma",No,214347.41,11.0,2009-04-09
2006,Oklahoma                      ,"Comanche, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Comanche, Oklahoma",No,,,2009-04-09
2006,Oklahoma                      ,"Duncan, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Duncan, Oklahoma",No,,,2009-04-09
2006,Oklahoma                      ,"Randlett, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Walters, Oklahoma",No,,,2005-11-27
2020,California                    ,Error,Yes,,,2020-09-04
2006,Oklahoma                      ,"Bristow, Oklahoma",No,,,2005-11-27
2012,Oklahoma                      ,"Bristow, Oklahoma",No,544334.7999999999,34.0,2012-08-03
2006,Oklahoma                      ,"Cushing, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Depew, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Drumright, Oklahoma",No,,,2005-11-27
2012,Oklahoma                      ,"Drumright, Oklahoma",No,105902.43,4.0,2012-08-03
2006,Oklahoma                      ,"Hominy, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Jennings, Oklahoma",No,,,2005-11-27
2012,Oklahoma                      ,"Jennings, Oklahoma",No,95167.44,4.0,2012-08-03
2006,Oklahoma                      ,"Kellyville, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Mannford, Oklahoma",No,,,2005-11-27
2012,Oklahoma                      ,"Mannford, Oklahoma",No,4491046.0,237.0,2012-08-03
2006,Oklahoma                      ,"Mounds, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Owasso, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Perkins, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Sand Springs, Oklahoma",No,,,2005-11-27
2012,Oklahoma                      ,"Sand Springs, Oklahoma",No,97991.92000000001,8.0,2012-08-03
2006,Oklahoma                      ,"Sapulpa, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Shamrock, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Sperry, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Stroud, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Wynona, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Yale, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Tulsa, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Chouteau, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Pryor, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Pryor, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Salina, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Spavinaw, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Muskogee, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Muskogee, Oklahoma",No,,,2005-11-27
2012,Oklahoma                      ,Error,No,,,2012-08-03
2006,Oklahoma                      ,"Beggs, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Checotah, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Council Hill, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Coweta, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Eufaula, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Haskell, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Henryetta, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Hitchita, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Okmulgee, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Oktaha, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Porter, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Porum, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Schulter, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Wagoner, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Mcalester, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Hartshorne, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Kiowa, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Wardville, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Durant, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Durant, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Achille, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Bokchito, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Boswell, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Calera, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Colbert, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Hugo, Oklahoma",No,,,2005-11-27
2012,Oklahoma                      ,Error,No,,,2012-08-03
2006,Oklahoma                      ,"Soper, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Shawnee, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Seminole, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Asher, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Boley, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Bowlegs, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Castle, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Chandler, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Dustin, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Holdenville, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Mcloud, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Maud, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Meeker, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Newalla, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Okemah, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Paden, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Prague, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Roff, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Sasakwa, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Seminole, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Sparks, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Stratford, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Tecumseh, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Wanette, Oklahoma",No,,,2009-04-09
2006,Oklahoma                      ,"Weleetka, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Wellston, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Wellston, Oklahoma",No,,,2009-04-09
2006,Oklahoma                      ,"Wetumka, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Wewoka, Oklahoma",No,,,2005-11-27
2011,Texas                         ,"Corsicana, Texas",No,12004.35,1.0,2011-08-30
2011,Texas                         ,"Corsicana, Texas",No,12863.47,2.0,2011-08-30
2011,Texas                         ,"Texarkana, Texas",No,,,2011-08-30
2011,Texas                         ,"Atlanta, Texas",No,,,2011-08-30
2011,Texas                         ,"Douglassville, Texas",No,,,2011-08-30
2011,Texas                         ,"Linden, Texas",No,5869.38,3.0,2011-08-30
2011,Texas                         ,"Mc Leod, Texas",No,,,2011-08-30
2011,Texas                         ,"Marietta, Texas",No,,,2011-08-30
2011,Texas                         ,"Longview, Texas",No,,,2011-08-30
2011,Texas                         ,"Avinger, Texas",No,146022.58000000002,9.0,2011-08-30
2011,Texas                         ,"Diana, Texas",No,,,2011-08-30
2011,Texas                         ,"Gilmer, Texas",No,96973.39,5.0,2011-08-30
2011,Texas                         ,"Gilmer, Texas",No,93905.26999999999,4.0,2011-08-30
2011,Texas                         ,"Gladewater, Texas",No,,,2011-08-30
2011,Texas                         ,"Hallsville, Texas",No,,,2011-08-30
2011,Texas                         ,"Henderson, Texas",No,,,2011-08-30
2011,Texas                         ,"Henderson, Texas",No,30200.0,1.0,2011-08-30
2011,Texas                         ,Error,No,,,2011-08-30
2011,Texas                         ,"Jefferson, Texas",No,905271.42,41.0,2011-08-30
2011,Texas                         ,"Karnack, Texas",No,,,2011-08-30
2011,Texas                         ,"Kilgore, Texas",No,,,2011-08-30
2011,Texas                         ,"Marshall, Texas",No,,,2011-08-30
2011,Texas                         ,"Mount Enterprise, Texas",No,,,2011-08-30
2011,Texas                         ,"Ore City, Texas",No,0.0,0.0,2011-08-30
2011,Texas                         ,"Waskom, Texas",No,,,2011-08-30
2011,Texas                         ,"White Oak, Texas",No,,,2011-08-30
2011,Texas                         ,"Tyler, Texas",No,,,2011-08-30
2011,Texas                         ,"Tyler, Texas",No,,,2011-08-30
2011,Texas                         ,"Tyler, Texas",No,,,2011-08-30
2011,Texas                         ,"Athens, Texas",No,33011.9,2.0,2011-08-30
2011,Texas                         ,"Athens, Texas",No,35856.44,2.0,2011-08-30
2011,Texas                         ,"Big Sandy, Texas",No,193074.2,10.0,2011-08-30
2011,Texas                         ,"Frankston, Texas",No,,,2011-08-30
2011,Texas                         ,"Winona, Texas",No,39398.21,3.0,2011-08-30
2011,Texas                         ,"Palestine, Texas",No,,,2011-08-30
2011,Texas                         ,"Buffalo, Texas",No,,,2011-08-30
2011,Texas                         ,"Crockett, Texas",No,,,2011-08-30
2006,Texas                         ,"Elkhart, Texas",No,,,2005-11-27
2011,Texas                         ,"Grapeland, Texas",No,,,2011-08-30
2011,Texas                         ,"Jewett, Texas",No,,,2011-08-30
2006,Texas                         ,"Montalba, Texas",No,,,2005-11-27
2006,Texas                         ,"Arlington, Texas",No,,,2005-11-27
2006,Texas                         ,"Arlington, Texas",No,,,2005-11-27
2006,Texas                         ,"Aledo, Texas",No,,,2005-11-27
2006,Texas                         ,"Arlington, Texas",No,,,2005-11-27
2006,Texas                         ,"Arlington, Texas",No,,,2005-11-27
2006,Texas                         ,"Bedford, Texas",No,,,2005-11-27
2006,Texas                         ,"Boyd, Texas",No,,,2005-11-27
2006,Texas                         ,"Cleburne, Texas",No,,,2005-11-27
2006,Texas                         ,"Cleburne, Texas",No,,,2005-11-27
2006,Texas                         ,"Cresson, Texas",No,,,2005-11-27
2006,Texas                         ,"Granbury, Texas",No,,,2005-11-27
2006,Texas                         ,"Grapevine, Texas",No,,,2005-11-27
2006,Texas                         ,"Joshua, Texas",No,,,2005-11-27
2006,Texas                         ,"Kennedale, Texas",No,,,2005-11-27
2006,Texas                         ,"Mansfield, Texas",No,,,2005-11-27
2006,Texas                         ,"Mineral Wells, Texas",No,,,2005-11-27
2006,Texas                         ,"Paradise, Texas",No,,,2005-11-27
2006,Texas                         ,"Springtown, Texas",No,,,2005-11-27
2006,Texas                         ,"Fort Worth, Texas",No,,,2005-11-27
2006,Texas                         ,"Fort Worth, Texas",No,,,2005-11-27
2006,Texas                         ,"Fort Worth, Texas",No,,,2005-11-27
2006,Texas                         ,"Fort Worth, Texas",No,,,2005-11-27
2006,Texas                         ,"Fort Worth, Texas",No,,,2005-11-27
2006,Texas                         ,"Fort Worth, Texas",No,,,2005-11-27
2006,Texas                         ,"Fort Worth, Texas",No,,,2005-11-27
2006,Texas                         ,"Fort Worth, Texas",No,,,2005-11-27
2006,Texas                         ,"Bowie, Texas",No,,,2005-11-27
2006,Texas                         ,"Decatur, Texas",No,,,2005-11-27
2006,Texas                         ,"Gainesville, Texas",No,,,2005-11-27
2006,Texas                         ,"Nocona, Texas",No,,,2005-11-27
2006,Texas                         ,"Ringgold, Texas",No,,,2005-11-27
2006,Texas                         ,"Saint Jo, Texas",No,,,2005-11-27
2006,Texas                         ,"Whitesboro, Texas",No,,,2005-11-27
2007,California                    ,Error,No,,,2007-10-21
2006,Texas                         ,"Stephenville, Texas",No,,,2005-11-27
2006,Texas                         ,"Bridgeport, Texas",No,,,2005-11-27
2006,Texas                         ,"Carbon, Texas",No,,,2005-11-27
2006,Texas                         ,"Cross Plains, Texas",No,,,2005-11-27
2006,Texas                         ,"Dublin, Texas",No,,,2005-11-27
2006,Texas                         ,"Gorman, Texas",No,,,2005-11-27
2006,Texas                         ,"Ranger, Texas",No,,,2005-11-27
2006,Texas                         ,"Rising Star, Texas",No,,,2005-11-27
2011,Texas                         ,"Taylor, Texas",No,,,2011-08-30
2011,Texas                         ,"Whitney, Texas",No,196287.1,9.0,2011-08-30
2011,Texas                         ,"Houston, Texas",No,,,2011-08-30
2011,Texas                         ,"Conroe, Texas",No,22024.71,2.0,2011-08-30
2011,Texas                         ,"Montgomery, Texas",No,0.0,0.0,2011-08-30
2011,Texas                         ,"Huntsville, Texas",No,0.0,0.0,2011-08-30
2011,Texas                         ,"Huntsville, Texas",No,,,2011-08-30
2011,Texas                         ,"Magnolia, Texas",No,0.0,0.0,2011-08-30
2011,Texas                         ,"Magnolia, Texas",No,354963.43,27.0,2011-08-30
2011,Texas                         ,"Montgomery, Texas",No,,,2011-08-30
2011,Texas                         ,"New Waverly, Texas",No,,,2011-08-30
2011,Texas                         ,"Plantersville, Texas",No,6126.19,3.0,2011-08-30
2011,Texas                         ,"Spring, Texas",No,,,2011-08-30
2011,Texas                         ,"Conroe, Texas",No,,,2011-08-30
2011,Texas                         ,"Eagle Lake, Texas",No,9419.71,1.0,2011-08-30
2011,Texas                         ,"Hempstead, Texas",No,0.0,0.0,2011-08-30
2011,Texas                         ,"Hockley, Texas",No,18772.92,2.0,2011-08-30
2011,Texas                         ,"Waller, Texas",No,246994.15,14.0,2011-08-30
2011,Texas                         ,"Pasadena, Texas",No,,,2011-08-30
2011,Texas                         ,"Anderson, Texas",No,,,2011-08-30
2011,Texas                         ,"Bedias, Texas",No,,,2011-08-30
2011,Texas                         ,"Concord, Texas",No,,,2011-08-30
2011,Texas                         ,"Marquez, Texas",No,,,2011-08-30
2011,Texas                         ,"Navasota, Texas",No,,,2011-08-30
2006,Texas                         ,"Hunt, Texas",No,,,2005-11-27
2006,Texas                         ,"Mountain Home, Texas",No,,,2005-11-27
2011,Texas                         ,"South Padre Island, Texas",No,,,2011-08-30
2011,Texas                         ,Error,No,,,2011-08-30
2011,Texas                         ,"Bastrop, Texas",No,5626029.08,445.0,2011-08-30
2011,Texas                         ,Error,No,,,2011-08-30
2011,Texas                         ,"Cedar Creek, Texas",No,109250.29999999999,8.0,2011-08-30
2011,Texas                         ,"Cedar Park, Texas",No,20691.44,3.0,2011-08-30
2011,Texas                         ,"Dale, Texas",No,1142.8,1.0,2011-08-30
2011,Texas                         ,"Del Valle, Texas",No,,,2011-08-30
2011,Texas                         ,"Elgin, Texas",No,,,2011-08-30
2011,Texas                         ,"Georgetown, Texas",No,,,2011-08-30
2011,Texas                         ,"Leander, Texas",No,63888.21,8.0,2011-08-30
2011,Texas                         ,"Liberty Hill, Texas",No,,,2011-08-30
2006,Texas                         ,"Lockhart, Texas",No,,,2005-11-27
2011,Texas                         ,"Lockhart, Texas",No,,,2011-08-30
2011,Texas                         ,"Luling, Texas",No,,,2011-08-30
2006,Texas                         ,"Maxwell, Texas",No,,,2005-11-27
2011,Texas                         ,"Paige, Texas",No,3501218.43,218.0,2011-08-30
2011,Texas                         ,"Pflugerville, Texas",No,0.0,0.0,2011-08-30
2011,Texas                         ,"Red Rock, Texas",No,,,2011-08-30
2006,Texas                         ,"San Marcos, Texas",No,,,2005-11-27
2011,Texas                         ,"Spicewood, Texas",No,423130.63,31.0,2011-08-30
2011,Texas                         ,"Austin, Texas",No,,,2011-08-30
2011,Texas                         ,"Austin, Texas",No,0.0,0.0,2011-08-30
2011,Texas                         ,"Austin, Texas",No,,,2011-08-30
2011,Texas                         ,"Austin, Texas",No,,,2011-08-30
2011,Texas                         ,"Austin, Texas",No,2441.41,1.0,2011-08-30
2011,Texas                         ,"Austin, Texas",No,,,2011-08-30
2011,Texas                         ,"Austin, Texas",No,,,2011-08-30
2011,Texas                         ,"Austin, Texas",No,,,2011-08-30
2011,Texas                         ,"Cat Spring, Texas",No,,,2011-08-30
2011,Texas                         ,"Columbus, Texas",No,,,2011-08-30
2011,Texas                         ,"Alleyton, Texas",No,41024.020000000004,4.0,2011-08-30
2011,Texas                         ,"Fayetteville, Texas",No,,,2011-08-30
2011,Texas                         ,"La Grange, Texas",No,,,2011-08-30
2011,Texas                         ,"Rosanky, Texas",No,157316.31,6.0,2011-08-30
2011,Texas                         ,"Smithville, Texas",No,1248404.6600000001,94.0,2011-08-30
2011,Texas                         ,"Waelder, Texas",No,,,2011-08-30
2011,Texas                         ,"Weimar, Texas",No,,,2011-08-30
2011,Texas                         ,"West Point, Texas",No,,,2011-08-30
2006,Texas                         ,"Hereford, Texas",No,,,2005-11-27
2006,Texas                         ,"Lefors, Texas",No,,,2005-11-27
2006,Texas                         ,"Mclean, Texas",No,,,2005-11-27
2006,Texas                         ,"Miami, Texas",No,,,2005-11-27
2006,Texas                         ,"Mobeetie, Texas",No,,,2005-11-27
2006,Texas                         ,"Pampa, Texas",No,,,2005-11-27
2006,Texas                         ,"Skellytown, Texas",No,,,2005-11-27
2006,Texas                         ,"Wheeler, Texas",No,,,2005-11-27
2006,Texas                         ,"Amarillo, Texas",No,,,2005-11-27
2020,Oregon                        ,Error,Yes,,,2020-09-07
2021,Colorado                      ,"Broomfield, Colorado",Yes,,,2021-12-30
2021,Colorado                      ,"Lafayette, Colorado",Yes,1600.0,4.0,2021-12-30
2021,Colorado                      ,"Louisville, Colorado",Yes,1527932.23,779.0,2021-12-30
2021,Colorado                      ,"Boulder, Colorado",Yes,94809.26,33.0,2021-12-30
2021,Colorado                      ,"Boulder, Colorado",Yes,28608.0,2.0,2021-12-30
2021,Colorado                      ,"Boulder, Colorado",Yes,354601.25,77.0,2021-12-30
2021,Colorado                      ,"Boulder, Colorado",Yes,74105.09,25.0,2021-12-30
2021,Colorado                      ,"Boulder, Colorado",Yes,52250.72,27.0,2021-12-30
2021,Colorado                      ,"Boulder, Colorado",Yes,,,2021-12-30
2021,Colorado                      ,"Nederland, Colorado",Yes,0.0,0.0,2021-12-30
2021,Colorado                      ,"Ward, Colorado",Yes,,,2021-12-30
2021,Colorado                      ,"Winter Park, Colorado",Yes,,,2021-12-30
2021,Colorado                      ,"Longmont, Colorado",Yes,0.0,0.0,2021-12-30
2021,Colorado                      ,"Longmont, Colorado",Yes,0.0,0.0,2021-12-30
2021,Colorado                      ,"Longmont, Colorado",Yes,500.0,1.0,2021-12-30
2021,Colorado                      ,"Erie, Colorado",Yes,,,2021-12-30
2020,Oregon                        ,"Chandler, Arizona",Yes,,,2020-09-07
2024,Arizona                       ,"Peridot, Arizona",Yes,624305.98,19.0,2024-07-10
2024,Arizona                       ,"San Carlos, Arizona",Yes,353307.52999999997,8.0,2024-07-10
2022,New Mexico                    ,"Belen, New Mexico",Yes,800.0,2.0,2022-04-05
2024,New Mexico                    ,"Belen, New Mexico",Yes,0.0,0.0,2024-06-17
2024,New Mexico                    ,"Bernalillo, New Mexico",Yes,,,2024-06-17
2022,New Mexico                    ,"Bosque, New Mexico",Yes,,,2022-04-05
2022,New Mexico                    ,"Grants, New Mexico",Yes,,,2022-04-05
2024,New Mexico                    ,"Grants, New Mexico",Yes,,,2024-06-17
2022,New Mexico                    ,"Jarales, New Mexico",Yes,0.0,0.0,2022-04-05
2022,New Mexico                    ,"Laguna, New Mexico",Yes,0.0,0.0,2022-04-05
2022,New Mexico                    ,"Los Lunas, New Mexico",Yes,2492.0,1.0,2022-04-05
2024,New Mexico                    ,"Los Lunas, New Mexico",Yes,0.0,0.0,2024-06-17
2022,New Mexico                    ,"Nageezi, New Mexico",Yes,,,2022-04-05
2022,New Mexico                    ,"Peralta, New Mexico",Yes,,,2022-04-05
2024,New Mexico                    ,"Peralta, New Mexico",Yes,,,2024-06-17
2024,New Mexico                    ,"Placitas, New Mexico",Yes,,,2024-06-17
2022,New Mexico                    ,"Corrales, New Mexico",Yes,,,2022-04-05
2024,New Mexico                    ,"Tijeras, New Mexico",Yes,,,2024-06-17
2022,New Mexico                    ,"Bosque Farms, New Mexico",Yes,0.0,0.0,2022-04-05
2022,New Mexico                    ,"Albuquerque, New Mexico",Yes,,,2022-04-05
2024,New Mexico                    ,"Albuquerque, New Mexico",Yes,,,2024-06-17
2024,New Mexico                    ,"Albuquerque, New Mexico",Yes,0.0,0.0,2024-06-17
2022,New Mexico                    ,"Albuquerque, New Mexico",Yes,0.0,0.0,2022-04-05
2024,New Mexico                    ,"Albuquerque, New Mexico",Yes,0.0,0.0,2024-06-17
2024,New Mexico                    ,"Albuquerque, New Mexico",Yes,0.0,0.0,2024-06-17
2022,New Mexico                    ,"Albuquerque, New Mexico",Yes,,,2022-04-05
